ID,TITRE,PRIX,ARR,LINK,M2,PIECES
308,Calm and sunny fully furnished apartment,1299,Paris Marcadet Poissonieres Rue Marcadet,https://paris.craigslist.org/apa/d/calm-and-sunny-fully-furnished-apartment/6813551481.html,,
309,Furnished 50m2 apartment with balcony,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-50m2-apartment-with-balcony/6813553182.html,,
310,":Charming and quiet studio""",1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/charming-and-quiet-studio/6813550109.html,,
311,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6799349696.html,30,1
312,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6792080069.html,30,1
313,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6799350468.html,30,1
314,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6811070302.html,27,1
315,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6811069801.html,27,1
316,A 24 sqm studio in Montmartre!,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/24-sqm-studio-in-montmartre/6813549720.html,,
317,Studio apartment availbale at 1st Arrondissement,450,1st Arrondissement,https://paris.craigslist.org/apa/d/studio-apartment-availbale-at-1st/6813537555.html,,1
318,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6813538872.html,50,
319,Appartement à Champ de Mars à Paris,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars-paris/6813538784.html,37,
320,Studio Avenue Georges Mandel,1450,16ème arrondissement,https://paris.craigslist.org/apa/d/studio-avenue-georges-mandel/6813538661.html,36,
321,2 pièces 25m² Rue de la Mare,900,20ème,https://paris.craigslist.org/apa/d/2-pices-25m-rue-de-la-mare/6813538588.html,25,
322,Grand 2 pièces de 50sqm rue d'Hauteville,1800,10ème arrondissement,https://paris.craigslist.org/apa/d/grand-2-pices-de-50sqm-rue-dhauteville/6813538481.html,50,
323,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6813513175.html,57,
324,Paris duplex apartment rental near Les Halles,990,2nd arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near-les/6813511999.html,18,
325,Paris apartment rental near Commerce,1290,15th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-commerce/6813509166.html,35,
326,"Studio 20 sqm, rue de la Fontaine au Roi",1065,11th arrondissement,https://paris.craigslist.org/apa/d/studio-20-sqm-rue-de-la-fontaine-au-roi/6813508827.html,20,
327,Paris apartment rental near Buttes Chaumont,1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-buttes/6813503756.html,40,
328,Studio rue de Richelieu,900,2ème arrondissement,https://paris.craigslist.org/apa/d/studio-rue-de-richelieu/6813501481.html,18,
329,"4 pièces, 75011 calme & lumineux juin a septembre",1720,paris 11,https://paris.craigslist.org/apa/d/4-picescalme-lumineux-juin-septembre/6813221569.html,70,2
330,Location studio meublé 25m² Paris 16ième,500,Paris,https://paris.craigslist.org/apa/d/location-studio-meubl-25m-paris-16ime/6813092072.html,25,
331,Furnished 2BR apartment (46sqm) rue Berzélius,1550,Paris 17th arrondissement,https://paris.craigslist.org/apa/d/furnished-2br-apartment-46sqm-rue/6812979477.html,46,
332,Apartment studio near Villiers in Paris,950,17th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-villiers-in-paris/6812979037.html,23,
333,Paris apartment rental near Marais,1150,3rd arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-marais/6812964997.html,25,
334,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6812957753.html,,
335,Paris apartment rental near Montmartre,2400,18th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-montmartre/6812953513.html,63,
336,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6812813352.html,95,
337,House à Place d'Italie à Paris,1650,13ème arrondissement,https://paris.craigslist.org/apa/d/house-place-ditalie-paris/6812812619.html,60,
338,Studio à Strasbourg Saint Denis à Paris,850,10ème arrondissement,https://paris.craigslist.org/apa/d/studio-strasbourg-saint-denis-paris/6812811310.html,16,
339,A furnished apartment in Paris,450,6th Arrondissement,https://paris.craigslist.org/apa/d/furnished-apartment-in-paris/6812752821.html,,1
340,Charming and quiet studio,1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/charming-and-quiet-studio/6812775737.html,,
341,Large one bedroom 70m2 apartment,2575,Paris Voltaire - Avenue Parmentier-,https://paris.craigslist.org/apa/d/large-one-bedroom-70m2-apartment/6812763453.html,,
342,A 24 sqm studio in Montmartre,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/24-sqm-studio-in-montmartre/6812776430.html,,
343,"Furnished apartment with balcony,!",1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-apartment-with-balcony/6812772753.html,,
344,Charming 1- bedroom apartment!,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/charming-1-bedroom-apartment/6812771381.html,,
345,Great One Bedroom Apartment Available for rent in Paris,550,Paris,https://paris.craigslist.org/apa/d/great-one-bedroom-apartment-available/6812765107.html,16,1
346,Renovated and furnished Apartment!,1599,Paris Censier Daubenton - Rue du Fer a Moulin -,https://paris.craigslist.org/apa/d/renovated-and-furnished-apartment/6812769711.html,,
347,Sunny Apartment,2100,North-West Neuilly-sur-Seine-Rue Chauveau,https://paris.craigslist.org/apa/d/sunny-apartment/6812764995.html,,
348,Stylish and modern rooftop apartment,1850,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/stylish-and-modern-rooftop-apartment/6812767683.html,,
349,- Two Bedroom -  loft apartment !,3399,Paris Jaques Bonsergent - Canal Saint Martin,https://paris.craigslist.org/apa/d/two-bedroom-loft-apartment/6812761318.html,,
350,Quiet Apartment (balconies facing garden,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/quiet-apartment-balconies-facing-garden/6812765790.html,,
351,Apartment; with balcony and view over Paris.,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/apartment-with-balcony-and-view-over/6812761897.html,,
352,This Beautiful Studio apt available in 7th arrondissement,450,7th arrondissement,https://paris.craigslist.org/apa/d/this-beautiful-studio-apt-available-in/6812743533.html,,1
353,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6812735492.html,63,
354,Studio Avenue Georges Mandel,1450,16ème arrondissement,https://paris.craigslist.org/apa/d/studio-avenue-georges-mandel/6812734885.html,36,
355,"2ème arrondissement, Studio rue de Richelieu",900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6812734115.html,18,
356,Apartment studio near Charles Michels in Paris,1250,15th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-charles-michels/6812733954.html,34,
357,"1BR (26sqm), Rue des Roses",900,18th arrondissement,https://paris.craigslist.org/apa/d/1br-26sqm-rue-des-roses/6812733759.html,26,
358,2 pièces 25m² Rue de la Mare,900,20ème,https://paris.craigslist.org/apa/d/2-pices-25m-rue-de-la-mare/6812731420.html,25,
359,Paris apartment rental near Gobelins,1500,13th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-gobelins/6812645385.html,45,
360,Paris apartment rental near Gambetta,1500,20th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-gambetta/6812643403.html,48,
361,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6812641855.html,,
362,Apartment studio near Plaisance in Paris,1150,14th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-plaisance-in-paris/6812641018.html,25,
363,Paris apartment rental near Montmartre,1000,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-montmartre/6812638268.html,25,
364,Paris apartment rental near Commerce,1290,15th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-commerce/6812636450.html,35,
365,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6812582283.html,30,1
366,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6799350865.html,13,1
367,Apartment studio near Alésia,1100,14th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-alsia/6812158341.html,32,
368,Apartment studio near Montparnasse in Paris,1190,15th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-montparnasse-in/6812152149.html,28,
369,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6812144358.html,,
370,Paris apartment rental near Champs-Elysées,5500,8th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-champs/6812138720.html,132,
371,Paris duplex apartment rental near Bibliothèque François Mitterrand,2900,13th arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near/6812129417.html,85,
372,AVAILABLE NOW! Cozy Furnished 1BR in Eiffel Tower area,1955,VINGT Paris - Your Local Agent in Paris,https://paris.craigslist.org/apa/d/available-now-cozy-furnished-1br-in/6812083103.html,47,1
373,STUDIO FOR RENT,800,SIMPLON,https://paris.craigslist.org/apa/d/studio-for-rent/6812106853.html,25,1
374,AVAILABLE NOW! Stunning Furnished 3BR in Oberkampf,4900,VINGT Paris - Your Local Agent in Paris,https://paris.craigslist.org/apa/d/available-now-stunning-furnished-3br-in/6812079037.html,117,2
375,AVAILABLE NOW! Cozy Furnished 1BR in Latin Quarter,1500,VINGT Paris - Your Local Agent in Paris,https://paris.craigslist.org/apa/d/available-now-cozy-furnished-1br-in/6812055912.html,38,1
376,AVAILABLE NOW! Gorgeous Furnished 2BR in Etoile,7900,VINGT Paris - Your Local Agent in Paris,https://paris.craigslist.org/apa/d/available-now-gorgeous-furnished-2br-in/6812068148.html,142,2
377,AVAILABLE NOW! Stunning Furnished 4BR near Eiffel Tower,16100,VINGT Paris - Your Local Agent in Paris,https://paris.craigslist.org/apa/d/available-now-stunning-furnished-4br/6812041603.html,210,4
378,AVAILABLE NOW! Furnished Stunning 2BR in Saint-Germain-des-Prés,11500,VINGT Paris - Your Local Agent in Paris,https://paris.craigslist.org/apa/d/available-now-furnished-stunning-2br-in/6812037254.html,200,2
379,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6810416917.html,13,1
380,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6810416582.html,13,1
381,Seventh floor 1 bedroom apartment with elevator and balcony,2299,Paris Wagram - Rue Philibert Delorme,https://paris.craigslist.org/apa/d/seventh-floor-1-bedroom-apartment-with/6811967643.html,,
382,Large one bedroom 70m2 apartment on the second floor,2575,Paris Voltaire - Avenue Parmentier- One Bedroom,https://paris.craigslist.org/apa/d/large-one-bedroom-70m2-apartment-on-the/6811969091.html,,
383,2 bedroom (130m2) loft apartment,3399,Paris Jaques Bonsergent - Canal Saint Martin- Two Bedroom,https://paris.craigslist.org/apa/d/2-bedroom-130m2-loft-apartment/6811970794.html,,
384,3-beds apartment with balcony and view over Paris.,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/3-beds-apartment-with-balcony-and-view/6811972228.html,,
385,One Bedroom (in a very convenient location ),1299,Paris Goncourt - Rue Arthur Groussier-,https://paris.craigslist.org/apa/d/one-bedroom-in-very-convenient-location/6811952586.html,,
386,Stylish and modern rooftop apartment,1850,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/stylish-and-modern-rooftop-apartment/6811963954.html,,
387,"1 Bedroom apartment, 5th floor",1100,Paris Avenue la Motte Piquet - Boulevard Grenelle,https://paris.craigslist.org/apa/d/1-bedroom-apartment-5th-floor/6811950546.html,,
388,2-  apartment in a very convenient location,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/2-apartment-in-very-convenient-location/6811965237.html,,
389,Charming and quiet studio **,1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/charming-and-quiet-studio/6811949221.html,,
390,Renovated/ Furnished 1 Bedroom Apartment!,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/renovated-furnished-1-bedroom-apartment/6811961019.html,,
391,- 1 Bedroom - apartment adjacent to Metro Cambronne!,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/1-bedroom-apartment-adjacent-to-metro/6811958922.html,,
392,- 1 Bedroom - A 24 sqm studio in Montmartre,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/1-bedroom-24-sqm-studio-in-montmartre/6811947993.html,,
393,Appartement à Champ de Mars à Paris,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars-paris/6811913996.html,37,
394,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6811913784.html,,
395,Studio rue de Richelieu,900,2ème arrondissement,https://paris.craigslist.org/apa/d/studio-rue-de-richelieu/6811913646.html,18,
396,Studio Avenue Georges Mandel,1450,16ème arrondissement,https://paris.craigslist.org/apa/d/studio-avenue-georges-mandel/6811913525.html,36,
397,Paris apartment rental near Commerce,1290,15th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-commerce/6811913384.html,35,
398,Beautiful Studio with loft in 3rd Arrondissement,500,3rd Arrondissement,https://paris.craigslist.org/apa/d/beautiful-studio-with-loft-in-3rd/6811903011.html,,1
399,Amazing studio / Amazing studio in Rue du Temple,500,4th Arrondissement,https://paris.craigslist.org/apa/d/amazing-studio-amazing-studio-in-rue-du/6811895770.html,,1
400,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6811898207.html,,
401,"Paris apartment rental on a quiet street, Villa Verlaine",1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-on-quiet-street/6811896981.html,40,
402,"Studio 20 sqm, rue de la Fontaine au Roi",1065,11th arrondissement,https://paris.craigslist.org/apa/d/studio-20-sqm-rue-de-la-fontaine-au-roi/6811896763.html,20,
403,Paris apartment rental near Notre Dame,1242,"Rue Monge, 5th arrondissement",https://paris.craigslist.org/apa/d/paris-apartment-rental-near-notre-dame/6811896342.html,33,
404,Enjoy heart of the city!,700,Saint-Germain Paris France,https://paris.craigslist.org/apa/d/enjoy-heart-of-the-city/6811860456.html,,1
405,Paris apartment rental near Michel-Ange Molitor,1700,16th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-michel-ange/6811831764.html,47,
406,Paris apartment rental near Marais,1150,3rd arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-marais/6811828302.html,25,
407,Paris apartment rental near Montmartre,2400,18th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-montmartre/6811826867.html,63,
408,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6811825529.html,,
409,Paris apartment rental near Saint-Germain-des-Prés,1500,6th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-saint/6811824935.html,32,
410,Paris duplex apartment rental near Trocadéro,1950,16th arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near/6811823634.html,67,
411,Apartment studio near Charles Michels in Paris,1250,15th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-charles-michels/6811314629.html,34,
412,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6811305004.html,58,
413,Paris apartment rental near Parmentier,950,11th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-parmentier/6811304003.html,30,
414,Appartement à Auteuil à Paris,1500,16ème arrondissement,https://paris.craigslist.org/apa/d/appartement-auteuil-paris/6811303002.html,36,
415,Apartment in Paris for monthly rental,,Paris,https://paris.craigslist.org/apa/d/apartment-in-paris-for-monthly-rental/6811301994.html,,
416,Appartement à La Villette à Paris,1127,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-la-villette-paris/6811301121.html,35,
417,"MODERN , CENTRAL LOCATED 1 BEDROOM",400,"Boulevard de Sébastopol, 3rd arr., 75002 Paris, France",https://paris.craigslist.org/apa/d/modern-central-located-1-bedroom/6787632320.html,,1
418,"The apartment consists of 1 bedroom, 1 bathroom with free toiletries",400,"Boulevard de Sébastopol, 3rd arr., 75002 Paris, France",https://paris.craigslist.org/apa/d/the-apartment-consists-of-1-bedroom-1/6787625770.html,,1
419,"Paris 3rd Marais, 1st class Furnished Studio 30M2",1200,Rue du Parc Royal,https://paris.craigslist.org/apa/d/paris-3rd-marais-1st-class-furnished/6811114843.html,322,1
420,Furnished Studio in Central Paris  660€/month),660,Panthéon / Sorbonne / 5th District,https://paris.craigslist.org/apa/d/furnished-studio-in-central-paris-660/6811112081.html,11,1
421,=> █_=_Modern & Well Stylish Apt which sleeps 4 in=>,50,7th District.Walk to Eiffel Tower.Paris,https://paris.craigslist.org/apa/d/modern-well-stylish-apt-which-sleeps-4/6796820057.html,,1
422,Furnished Studio Apartment in heart of Paris,400,6th Arrondissement,https://paris.craigslist.org/apa/d/furnished-studio-apartment-in-heart-of/6811073660.html,,1
423,Lovely Studio Apt Available in rue du Temple 4th Arrondissement,500,4th Arrondissement,https://paris.craigslist.org/apa/d/lovely-studio-apt-available-in-rue-du/6811069705.html,,1
424,Charming studio near Boulainvilliers,950,16th arrondissement,https://paris.craigslist.org/apa/d/charming-studio-near-boulainvilliers/6811074494.html,15,
425,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6811073570.html,,
426,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6811071545.html,50,
427,"4th district, Studio Rue St Louis en l' Ile",1300,4th arrondissement,https://paris.craigslist.org/apa/d/4th-district-studio-rue-st-louis-en-ile/6811071295.html,,
428,Paris apartment rental near Dupleix,3495,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-dupleix/6811061810.html,107,
429,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6811061348.html,63,
430,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6811060657.html,,
431,Furnished 2BR apartment (46sqm) rue Berzélius,1550,Paris 17th arrondissement,https://paris.craigslist.org/apa/d/furnished-2br-apartment-46sqm-rue/6811059850.html,46,
432,Apartment studio near Villiers in Paris,950,17th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-villiers-in-paris/6811058077.html,23,
433,Paris apartment rental near Buttes Chaumont,1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-buttes/6811041842.html,40,
434,House à Place d'Italie,1650,13ème arrondissement,https://paris.craigslist.org/apa/d/house-place-ditalie/6811040632.html,60,
435,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6811037005.html,,
436,Appartement à Champ de Mars,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars/6811036732.html,37,
437,"2ème arrondissement, Studio rue de Richelieu",900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6811036350.html,18,
438,Cosy room-Central Paris-all bills included,590,Paris,https://paris.craigslist.org/apa/d/cosy-room-central-paris-all-bills/6810838828.html,,
439,FURNISHED STUDIO APARTMENT WITH BALCONY IN PARIS,660,paris,https://paris.craigslist.org/apa/d/furnished-studio-apartment-with-balcony/6810714574.html,57,1
440,Paris duplex apartment rental near Trocadéro,1950,16th arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near/6810579010.html,67,
441,Paris apartment rental near Gambetta,1500,20th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-gambetta/6810577750.html,48,
442,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6810574585.html,,
443,Paris apartment rental near Dupleix,3495,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-dupleix/6810574449.html,107,
444,"1BR (26sqm), Rue des Roses",900,18th arrondissement,https://paris.craigslist.org/apa/d/1br-26sqm-rue-des-roses/6810574411.html,26,
445,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6810504812.html,95,
446,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6810502225.html,57,
447,"2ème arrondissement, Studio rue de Richelieu",900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6810502107.html,18,
448,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6810502055.html,,
449,Apartment studio near Marais in Paris,960,4th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-marais-in-paris/6810501353.html,21,
450,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6810501238.html,50,
451,Studio [in a safe building with digital code],1100,Paris Avenue la Motte Piquet - Boulevard Grenelle -,https://paris.craigslist.org/apa/d/studio-in-safe-building-with-digital/6810476636.html,,
452,Studio with elevator in perfect condition,800,Paris Passy - Rue Benjamin Franklin,https://paris.craigslist.org/apa/d/studio-with-elevator-in-perfect/6810482815.html,,
453,One Bedroom - in a very convenient,1299,Paris Goncourt - Rue Arthur Groussier-,https://paris.craigslist.org/apa/d/one-bedroom-in-very-convenient/6810474268.html,,
454,Calm and sunny fully furnished apartment,1299,Paris Marcadet Poissonieres Rue Marcadet,https://paris.craigslist.org/apa/d/calm-and-sunny-fully-furnished-apartment/6810476097.html,,1
455,Quiet Studio! (area is very Parisian ),1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/quiet-studio-area-is-very-parisian/6810477416.html,,
456,1 Bedroom Apartment (on the 1st floor)***,1090,Paris Abbesses - Rue Durantin -,https://paris.craigslist.org/apa/d/1-bedroom-apartment-on-the-1st-floor/6810478588.html,,
457,Furnished (50m2) apartment with balcony*,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-50m2-apartment-with-balcony/6810468798.html,,
458,- 1 Bedroom apartment adjacent to Metro Cambronne-,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/1-bedroom-apartment-adjacent-to-metro/6810464194.html,,
459,Two Bedroom flat (2 flights up),3399,Paris Jaques Bonsergent,https://paris.craigslist.org/apa/d/two-bedroom-flat-2-flights-up/6810458779.html,,
460,Very safe and quiet 1 Bedroom APARTMENT,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/very-safe-and-quiet-1-bedroom-apartment/6810463106.html,,
461,"""1 bedroom"" in a luxury residence",2100,North-West Neuilly-sur-Seine-Rue Chauveau,https://paris.craigslist.org/apa/d/1-bedroom-in-luxury-residence/6810461285.html,,
462,Stylish apartment with terrace and spectacular views!,1850,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/stylish-apartment-with-terrace-and/6810462247.html,,
463,*7th floor* floor 1 bedroom apartment with elevator and balcony,2299,Paris Wagram - Rue Philibert Delorme,https://paris.craigslist.org/apa/d/7th-floor-floor-1-bedroom-apartment/6810460770.html,,
464,2 Bedroom apartment>>With Plenty of storage,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/2-bedroom-apartmentwith-plenty-of/6810461815.html,,
465,Charming 1 bed with dishwasher!,2575,Paris Voltaire - Avenue Parmentier,https://paris.craigslist.org/apa/d/charming-1-bed-with-dishwasher/6810460533.html,,
466,3-BEDS APARTMENT with balcony and view over Paris!,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/3-beds-apartment-with-balcony-and-view/6810459331.html,,
467,Your flat in Paris for a long and Short term stay,400,Boulevard de Sébastopol,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-and-short/6787624871.html,,1
468,Newly furnished one bedroom apartment in excellent location,400,Boulevard de Sébastopol,https://paris.craigslist.org/apa/d/newly-furnished-one-bedroom-apartment/6787625997.html,,1
469,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6809922679.html,,
470,Studio Avenue Georges Mandel,1450,16ème  arrondissement,https://paris.craigslist.org/apa/d/studio-avenue-georges-mandel/6809920619.html,36,
471,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6809919577.html,57,
472,Appartement à La Villette à Paris,1127,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-la-villette-paris/6809918299.html,35,
473,Paris apartment rental near Notre Dame,1242,5th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-notre-dame/6809916737.html,33,
474,Totally renovated one bedroom apartment,990,Near Montmartre and Batignolles,https://paris.craigslist.org/apa/d/totally-renovated-one-bedroom-apartment/6809894472.html,29,1
475,Apartment studio near Charles Michels in Paris,1250,15th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-charles-michels/6809863394.html,34,
476,"4th district, Studio Rue St Louis en l' Ile",1300,4th arrondissement,https://paris.craigslist.org/apa/d/4th-district-studio-rue-st-louis-en-ile/6809861360.html,,
477,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6809860035.html,,
478,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6809857031.html,58,
479,"Studio 20 sqm, rue de la Fontaine au Roi",1065,11th arrondissement,https://paris.craigslist.org/apa/d/studio-20-sqm-rue-de-la-fontaine-au-roi/6809855744.html,20,
480,2 beda- loft apartment right next to the Canal Saint Martin,3399,Paris Jaques Bonsergent - Canal Saint Martin,https://paris.craigslist.org/apa/d/2-beda-loft-apartment-right-next-to-the/6809768245.html,,
481,- 3 Bedroom apartment with balcony and view over Paris,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/3-bedroom-apartment-with-balcony-and/6809765342.html,,
482,Large one bedroom 70m2 apartment,2575,Paris Voltaire - Avenue Parmentier-,https://paris.craigslist.org/apa/d/large-one-bedroom-70m2-apartment/6809761242.html,,
483,- 70m2/ Stylish and modern rooftop apartment,1850,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/70m2-stylish-and-modern-rooftop/6809753399.html,,
484,- 2 Bedroom Apartment- (balconies facing garden),1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/2-bedroom-apartment-balconies-facing/6809754519.html,,
